"Quarter","QTR_Start","Category","Item"
"2019Q3","07/01/2019","Net Income","      $4,534.40"
"2019Q4","10/01/2019","Net Income","      $3,417.10"
"2020Q1","01/01/2020","Net Income","     -$5,244.90"
"2020Q2","04/01/2020","Net Income","    -$11,040.40"
"2020Q3","07/01/2020","Net Income","    -$11,785.70"
"2019Q3","07/01/2019","Operating Profit/Loss","      $6,386.40"
"2019Q4","10/01/2019","Operating Profit/Loss","      $4,579.00"
"2020Q1","01/01/2020","Operating Profit/Loss","     -$4,559.90"
"2020Q2","04/01/2020","Operating Profit/Loss","    -$16,239.10"
"2020Q3","07/01/2020","Operating Profit/Loss","    -$15,936.20"
"2019Q3","07/01/2019","Operating Revenue","     $51,379.60"
"2019Q4","10/01/2019","Operating Revenue","     $48,899.30"
"2020Q1","01/01/2020","Operating Revenue","     $37,337.60"
"2020Q2","04/01/2020","Operating Revenue","      $7,840.70"
"2020Q3","07/01/2020","Operating Revenue","     $14,019.10"
"2019Q3","07/01/2019","Fares","     $38,369.60"
"2019Q4","10/01/2019","Fares","     $36,015.70"
"2020Q1","01/01/2020","Fares","     $26,789.20"
"2020Q2","04/01/2020","Fares","      $3,987.10"
"2020Q3","07/01/2020","Fares","      $8,181.70"
"2019Q3","07/01/2019","Baggage Fees","      $1,526.30"
"2019Q4","10/01/2019","Baggage Fees","      $1,428.30"
"2020Q1","01/01/2020","Baggage Fees","      $1,225.80"
"2020Q2","04/01/2020","Baggage Fees","        $221.20"
"2020Q3","07/01/2020","Baggage Fees","        $601.30"
"2019Q3","07/01/2019","Reservation Change Fees","        $747.20"
"2019Q4","10/01/2019","Reservation Change Fees","        $699.50"
"2020Q1","01/01/2020","Reservation Change Fees","        $656.40"
"2020Q2","04/01/2020","Reservation Change Fees","         $80.80"
"2020Q3","07/01/2020","Reservation Change Fees","         $61.90"
"2019Q3","07/01/2019","Operating Expenses","     $44,993.20"
"2019Q4","10/01/2019","Operating Expenses","     $44,320.30"
"2020Q1","01/01/2020","Operating Expenses","     $41,897.40"
"2020Q2","04/01/2020","Operating Expenses","     $24,079.80"
"2020Q3","07/01/2020","Operating Expenses","     $29,955.30"
"2019Q3","07/01/2019","Fuel","      $8,505.80"
"2019Q4","10/01/2019","Fuel","      $8,054.10"
"2020Q1","01/01/2020","Fuel","      $6,392.70"
"2020Q2","04/01/2020","Fuel","      $1,152.10"
"2020Q3","07/01/2020","Fuel","      $2,065.70"
"2019Q3","07/01/2019","Labor","     $15,389.90"
"2019Q4","10/01/2019","Labor","     $15,476.30"
"2020Q1","01/01/2020","Labor","     $14,432.00"
"2020Q2","04/01/2020","Labor","     $11,287.30"
"2020Q3","07/01/2020","Labor","     $12,437.50"
