"Group","Category","Q3_2019","Q3_2020","VAR5","Q3_2019_Revenue_or_Expense_Total","Q3_2020_Revenue_or_Expense_Total"
"All Routes","Operating Revenue | Passenger Fares","       38,369.6","        8,181.7","         -78.68","          74.68","          58.36"
"All Routes","Operating Revenue | Cargo","          782.7","          877.8","          12.15","           1.52","           6.26"
"All Routes","Operating Revenue | Baggage","        1,526.3","          601.3","         -60.60","           2.97","           4.29"
"All Routes","Operating Revenue | Reservation Changes","          747.2","           61.9","         -91.72","           1.45","           0.44"
"All Routes","Operating Revenue | Transport-Related","        7,486.3","        2,910.5","         -61.12","          14.57","          20.76"
"All Routes","Operating Revenue | Other","        2,467.5","        1,385.9","         -43.83","           4.80","           9.89"
"All Routes","Operating Revenue | Total","       51,379.6","       14,019.1","         -72.71","         100.00","         100.00"
"All Routes","Operating Expense | Fuel","        8,505.8","        2,065.7","         -75.71","          18.90","           6.90"
"All Routes","Operating Expense | Labor","       15,389.9","       12,437.5","         -19.18","          34.20","          41.52"
"All Routes","Operating Expense | Rentals","        2,511.3","        2,459.0","          -2.08","           5.58","           8.21"
"All Routes","Operating Expense | Depreciation & Amortization","        2,503.3","        2,517.2","           0.56","           5.56","           8.40"
"All Routes","Operating Expense | Landing Fees","          854.6","          492.6","         -42.36","           1.90","           1.64"
"All Routes","Operating Expense | Maintenance Materials","          644.2","          344.9","         -46.46","           1.43","           1.15"
"All Routes","Operating Expense | Transport-Related","        5,658.1","        3,158.3","         -44.18","          12.58","          10.54"
"All Routes","Operating Expense | Other","        8,926.0","        6,480.1","         -27.40","          19.84","          21.63"
"All Routes","Operating Expense | Total","       44,993.2","       29,955.3","         -33.42","         100.00","         100.00"
"Domestic Routes","Operating Revenue | Passenger Fares","       27,363.8","        7,122.0","         -73.97","          71.51","          59.43"
"Domestic Routes","Operating Revenue | Cargo","          240.7","          234.2","          -2.70","           0.63","           1.95"
"Domestic Routes","Operating Revenue | Baggage","        1,202.9","          520.7","         -56.71","           3.14","           4.35"
"Domestic Routes","Operating Revenue | Reservation Changes","          524.2","           53.3","         -89.83","           1.37","           0.44"
"Domestic Routes","Operating Revenue | Transport-Related","        7,106.3","        2,827.1","         -60.22","          18.57","          23.59"
"Domestic Routes","Operating Revenue | Other","        1,828.6","        1,225.7","         -32.97","           4.78","          10.23"
"Domestic Routes","Operating Revenue | Total","       38,266.5","       11,983.0","         -68.69","         100.00","         100.00"
"Domestic Routes","Operating Expense | Fuel","        5,713.7","        1,613.4","         -71.76","          17.01","           6.29"
"Domestic Routes","Operating Expense | Labor","       11,216.8","       10,525.4","          -6.16","          33.40","          41.02"
"Domestic Routes","Operating Expense | Rentals","        1,963.8","        2,175.0","          10.75","           5.85","           8.48"
"Domestic Routes","Operating Expense | Depreciation & Amortization","        1,767.1","        2,123.1","          20.15","           5.26","           8.27"
"Domestic Routes","Operating Expense | Landing Fees","          647.1","          424.8","         -34.35","           1.93","           1.66"
"Domestic Routes","Operating Expense | Maintenance Materials","          507.0","          306.1","         -39.63","           1.51","           1.19"
"Domestic Routes","Operating Expense | Transport-Related","        5,485.2","        3,112.6","         -43.25","          16.33","          12.13"
"Domestic Routes","Operating Expense | Other","        6,279.8","        5,377.4","         -14.37","          18.70","          20.96"
"Domestic Routes","Operating Expense | Total","       33,580.5","       25,657.8","         -23.59","         100.00","         100.00"
"International Routes","Operating Revenue | Passenger Fares","       11,005.8","        1,059.7","         -90.37","          83.93","          52.05"
"International Routes","Operating Revenue | Cargo","          542.0","          643.6","          18.75","           4.13","          31.61"
"International Routes","Operating Revenue | Baggage","          323.4","           80.6","         -75.08","           2.47","           3.96"
"International Routes","Operating Revenue | Reservation Changes","          223.0","            8.6","         -96.14","           1.70","           0.42"
"International Routes","Operating Revenue | Transport-Related","          380.0","           83.4","         -78.05","           2.90","           4.10"
"International Routes","Operating Revenue | Other","          638.9","          160.2","         -74.93","           4.87","           7.87"
"International Routes","Operating Revenue | Total","       13,113.1","        2,036.1","         -84.47","         100.00","         100.00"
"International Routes","Operating Expense | Fuel","        2,792.1","          452.3","         -83.80","          24.46","          10.52"
"International Routes","Operating Expense | Labor","        4,173.1","        1,912.1","         -54.18","          36.57","          44.49"
"International Routes","Operating Expense | Rentals","          547.5","          284.0","         -48.13","           4.80","           6.61"
"International Routes","Operating Expense | Depreciation & Amortization","          736.2","          394.1","         -46.47","           6.45","           9.17"
"International Routes","Operating Expense | Landing Fees","          207.5","           67.8","         -67.33","           1.82","           1.58"
"International Routes","Operating Expense | Maintenance Materials","          137.2","           38.8","         -71.72","           1.20","           0.90"
"International Routes","Operating Expense | Transport-Related","          172.9","           45.7","         -73.57","           1.51","           1.06"
"International Routes","Operating Expense | Other","        2,646.2","        1,102.7","         -58.33","          23.19","          25.66"
"International Routes","Operating Expense | Total","       11,412.7","        4,297.5","         -62.34","         100.00","         100.00"
