"Date","U_S__FTEs"
"01/01/2017","        417,833"
"02/01/2017","        419,762"
"03/01/2017","        422,278"
"04/01/2017","        423,747"
"05/01/2017","        425,656"
"06/01/2017","        427,818"
"07/01/2017","        428,209"
"08/01/2017","        428,455"
"09/01/2017","        428,673"
"10/01/2017","        430,232"
"11/01/2017","        429,946"
"12/01/2017","        430,607"
"01/01/2018","        429,842"
"02/01/2018","        433,696"
"03/01/2018","        435,710"
"04/01/2018","        437,745"
"05/01/2018","        439,711"
"06/01/2018","        440,929"
"07/01/2018","        444,988"
"08/01/2018","        441,171"
"09/01/2018","        442,049"
"10/01/2018","        442,744"
"11/01/2018","        441,511"
"12/01/2018","        442,015"
"01/01/2019","        443,424"
"02/01/2019","        444,717"
"03/01/2019","        446,609"
"04/01/2019","        447,968"
"05/01/2019","        449,615"
"06/01/2019","        451,395"
"07/01/2019","        451,546"
"08/01/2019","        451,166"
"09/01/2019","        452,138"
"10/01/2019","        454,070"
"11/01/2019","        452,668"
"12/01/2019","        455,566"
"01/01/2020","        456,534"
"02/01/2020","        458,966"
"03/01/2020","        460,033"
"04/01/2020","        429,407"
"05/01/2020","        411,817"
"06/01/2020","        410,557"
"07/01/2020","        415,154"
"08/01/2020","        411,176"
"09/01/2020","        404,869"
"10/01/2020","        368,162"
"11/01/2020","              ."
"12/01/2020","              ."
